date,oil,gas
2014-01-01,7731,4449
2014-02-01,12899,12039
2014-03-01,7938,6140
2014-04-01,6984,5927
2014-05-01,5783,4758
2014-06-01,3038,2308
2014-07-01,6320,4259
2014-08-01,1289,809
2014-09-01,4554,3116
2014-10-01,4890,3474
2014-11-01,4530,3310
2014-12-01,4473,3282
2015-01-01,4264,3162
2015-02-01,3670,2459
2015-03-01,3899,2376
2015-04-01,3753,2480
2015-05-01,2649,1714
2015-06-01,3433,2185
2015-07-01,4200,2845
2015-08-01,2259,1521
2015-09-01,3289,1994
2015-10-01,4211,3709
2015-11-01,3350,2575
2015-12-01,3252,3094
2016-01-01,2557,2122
2016-02-01,2952,2887
2016-03-01,2758,2666
2016-04-01,2374,2504
2016-05-01,2756,3357
2016-06-01,2382,2923
2016-07-01,2378,2602
2016-08-01,2440,3379
2016-09-01,1989,1834
2016-10-01,2469,3437
2016-11-01,2059,2542
2016-12-01,1798,2319
2017-01-01,1996,2624
2017-02-01,1861,2858
2017-03-01,1962,3199
2017-04-01,1704,2750
2017-05-01,1653,2404
2017-06-01,1415,1754
2017-07-01,2752,5322
2017-08-01,2086,4846
2017-09-01,1756,3436
2017-10-01,1547,2077
2017-11-01,1195,2119
2017-12-01,1790,2790
2018-01-01,1902,3186
2018-02-01,1619,3809
2018-03-01,1477,3701
2018-04-01,1632,3487
2018-05-01,463,1222
2018-06-01,945,1560
2018-07-01,2125,3597
2018-08-01,2098,4792
2018-09-01,1707,5755
2018-10-01,824,2932
2018-11-01,1515,4208
2018-12-01,1522,3878
2019-01-01,1345,3580
2019-02-01,1186,3301
2019-03-01,749,2077
2019-04-01,689,1523
2019-05-01,1589,2731
2019-06-01,932,1760
2019-07-01,1631,3822
2019-08-01,1632,4672
2019-09-01,1302,5296
2019-10-01,1442,6750
2019-11-01,1244,5916
