latitude,longitude,api
6221615.76714595,-11211999.036476292,33009019450000
6226504.33824469,-11213835.585435398,33009019640000
6225265.400057867,-11209561.584905881,33009019890000
6261593.235201665,-11247162.971186543,33009020530000
6274446.199503129,-11213380.845315509,33009021760000
6261464.482263222,-11210748.918594683,33009021830000
6273831.504760435,-11217850.87946831,33009021960000
6273808.261591342,-11217850.65682933,33009021970000
6273784.848828706,-11217850.434190348,33009021980000
6273217.533304693,-11217845.313493773,33009022000000
6273194.291823948,-11217845.202174282,33009022010000
6273171.050407104,-11217844.979535298,33009022020000
6273743.791821822,-11218638.576185165,33009022050000
6273153.40733042,-11218633.344169099,33009022060000
6273106.755141625,-11218632.898891134,33009022070000
6273754.819510696,-11213676.732522037,33009022080000
6273708.333658201,-11213676.732522037,33009022090000
6271847.243362319,-11213676.732522037,33009022100000
6271893.718980759,-11213676.732522037,33009022110000
6237632.859273332,-11405277.16840764,33013006700000
6241301.727755631,-11402875.339074284,33013006940000
6241302.572793782,-11401604.62708688,33013007000000
6241300.206687171,-11404067.57082068,33013007150000
6241298.516611428,-11405267.37229245,33013007170000
6238234.963206985,-11409559.851857439,33013007630000
6239468.362335205,-11403451.862717103,33013007910000
6241298.854626551,-11405877.403101997,33013008040000
6239472.417641973,-11404659.011275264,33013008110000
6237623.736815259,-11409557.068870168,33013008170000
6245518.840847173,-11405289.524871118,33013009190000
6207814.136212508,-11399743.031242343,33013014020000
6210281.7186118,-11397420.572705923,33013014570000
6205410.716608532,-11399298.198557133,33013014580000
6200534.261230503,-11387589.94847397,33013014740000
6200534.9340235125,-11395010.171771776,33013014760000
6200523.832945632,-11390119.0159853,33013014770000
6200400.040088806,-11385254.7995156,33013014790000
6205152.388170291,-11392656.655097425,33013014800000
6203435.334569881,-11392886.752484895,33013014860000
6200753.76277314,-11395317.302246874,33013014940000
6202726.334957393,-11394777.736675,33013014980000
6227761.849723984,-11403865.303305909,33013015180000
6200790.767422439,-11388003.611701759,33013015220000
6198590.4479518365,-11387160.366558999,33013015260000
6208100.491239156,-11399286.287371619,33013015370000
6202937.48077496,-11392062.765614042,33013015390000
6198480.472135891,-11384977.391344542,33013015400000
6208096.619237379,-11398194.688444898,33013015520000
6202979.205827618,-11390809.085508728,33013015540000
6198375.710562687,-11383345.00233155,33013015550000
6202846.460301748,-11393120.52341556,33013015560000
6198761.300050775,-11385772.101189313,33013015570000
6201995.861332195,-11399264.802709894,33013015620000
6201995.861332195,-11399310.777659593,33013015630000
6201740.4963589,-11398304.004184859,33013015640000
6201739.9916926315,-11398257.91791567,33013015650000
6208921.5637965,-11395681.428301258,33013015670000
6208921.395432299,-11395727.514570449,33013015680000
6209335.581446864,-11397061.01075066,33013015690000
6209335.581446864,-11397015.035800964,33013015700000
6198555.470779789,-11389705.130118532,33013015910000
6200523.832945632,-11390119.0159853,33013901680000
6262645.694524184,-11524462.939698327,33023003600000
6154976.161268555,-11207325.955572281,33049001630000
6016997.323370134,-11523861.814448046,33053005680000
6006182.190980628,-11517792.787129486,33053009150000
6007328.204434925,-11518683.454375323,33053010480000
6003544.913085718,-11520691.435350252,33053014930000
6126111.316198638,-11454660.498274371,33053025430000
6067069.701385153,-11437688.506069046,33053030690000
6064507.974583212,-11433061.06615626,33053030820000
6062224.057202859,-11437926.507140363,33053030980000
6060184.635589281,-11431069.003868515,33053031140000
6062028.434500484,-11435324.191404086,33053031240000
6059888.790736296,-11437775.557910847,33053031420000
6064595.383939846,-11435334.655436223,33053031480000
6062604.061198707,-11438188.107943727,33053031640000
6072070.508390669,-11435868.321075086,33053031840000
6074499.075685772,-11435997.674323386,33053031860000
6098188.299904897,-11437765.873115147,33053031950000
6074207.213677425,-11435190.385376155,33053032100000
6067438.16127944,-11438222.950944345,33053032210000
6064897.68146711,-11433607.422217075,33053032380000
6091496.510372653,-11435795.295489123,33053033200000
6071698.370885408,-11438577.058244558,33053034070000
6090828.614256738,-11438036.93607523,33053034310000
6088066.413628482,-11441220.562192427,33053034440000
6088059.441593592,-11441199.300169684,33053034450000
6088052.137563107,-11441177.481549488,33053034460000
6087983.081581532,-11441008.609881956,33053034470000
6087975.777615912,-11440987.236539723,33053034480000
6087968.4736565,-11440965.417919528,33053034490000
6096029.34589371,-11438694.055029383,33053035050000
6091367.97536182,-11437696.07579442,33053035140000
6074212.682891553,-11435212.203996351,33053035220000
6074266.215079929,-11434345.915718997,33053035230000
6074266.049345086,-11434323.317862365,33053035240000
6064897.84702178,-11433630.020073704,33053035340000
6091473.759203599,-11435795.184169633,33053035350000
6090979.724946671,-11439458.48597266,33053036120000
6090962.621075909,-11439444.014438856,33053036130000
6090946.015408708,-11439428.986307599,33053036140000
6091219.182710964,-11438336.496824954,33053036150000
6091219.514834546,-11438291.078472711,33053036160000
6091219.348772752,-11438313.787648832,33053036170000
6067069.866981566,-11437665.796892924,33053036420000
6059888.790736296,-11437752.960054215,33053037220000
6074266.215079929,-11434368.624895116,33053038230000
6074266.215079929,-11434391.222751748,33053038240000
6100631.902685258,-11439921.79769334,33053039310000
6100631.736441435,-11439944.618188955,33053039320000
6064580.319006429,-11435336.436548075,33053039380000
6064564.4263579715,-11435338.106340438,33053039390000
6100627.580346939,-11441706.471769739,33053040030000
6100627.4141032,-11441729.18094586,33053040040000
6100626.084153415,-11440831.166613633,33053040050000
6100625.751665998,-11440853.987109244,33053040060000
6091359.838197149,-11437717.449136652,33053040140000
6096029.1797389425,-11438716.764205502,33053041380000
6088038.193522138,-11441134.28958706,33053041410000
6088045.165539794,-11441155.662929293,33053041420000
6072026.765659263,-11435883.237886854,33053041700000
6072048.636997188,-11435875.556841986,33053041710000
6072091.385681718,-11435861.085308183,33053041720000
6074518.798688336,-11435986.208415836,33053041730000
6074479.352728398,-11436010.030786864,33053041740000
6074460.127031919,-11436021.94197238,33053041750000
6074496.921074784,-11434990.56689018,33053042220000
6074474.21482255,-11434988.451819856,33053042230000
6074451.508630198,-11434986.782027494,33053042240000
6074429.2997116735,-11434985.11223513,33053042250000
6062041.674475627,-11436945.448468002,33053044350000
6100952.925508324,-11440551.75469174,33053045720000
6067069.701385153,-11437704.31343674,33053053900000
6067069.866981566,-11437649.98952523,33053053910000
6067038.734911904,-11437093.280751774,33053053920000
6067038.734911904,-11437077.362064593,33053053930000
6067038.900507722,-11437054.76420796,33053053940000
6065419.360027853,-11436535.124824937,33053058620000
6095258.422356397,-11442031.858641328,33053063690000
6098188.299904897,-11437788.58229127,33053066030000
6093614.791790711,-11442303.366879372,33053069530000
6093614.4595745485,-11442257.94852713,33053069540000
6093614.4595745485,-11442235.239351004,33053069550000
6093614.293466477,-11442212.418855395,33053069560000
6093614.127358403,-11442189.709679272,33053069570000
6093614.127358403,-11442167.000503149,33053069580000
6093613.961250333,-11442144.29132703,33053069590000
6093591.702798076,-11442230.897890866,33053069600000
6093591.536690439,-11442208.188714743,33053069610000
6093591.370582805,-11442185.368219132,33053069620000
6093591.204475176,-11442162.65904301,33053069630000
6093591.204475176,-11442139.949866887,33053069640000
